"logFC","unshrunk.logFC","logCPM","PValue","FDR","topDE"
"Tcas000381",-5.86427032282484,-5.91873597179218,3.42064342115637,5.92326897069965e-10,5.91853035552309e-06,"DOWN"
"Tcas007752",-3.86528188842922,-3.86695282619261,6.59250625253926,2.60921590635591e-08,0.000130356426681541,"DOWN"
"Tcas005506",-2.74182787768111,-2.74237941198227,7.65984076525008,4.38327174946051e-07,0.00145992171068698,"DOWN"
"Tcas000125",-4.01186440306021,-4.01946246538097,4.69479127422315,7.54702733674877e-07,0.00177506761113719,"DOWN"
"Tcas011558",-1.61876417741973,-1.61880479906729,9.83858007992458,8.88244401089468e-07,0.00177506761113719,"DOWN"
"Tcas004090",-2.48894696554277,-2.48940168243987,6.96314857974652,1.73428058860123e-06,0.00288815527355059,"DOWN"
"Tcas011916",-3.36913309060489,-3.38450218033466,3.38052084505822,2.18372773003529e-06,0.00296142982550008,"DOWN"
"Tcas002348",-1.44960889057286,-1.44967802548295,9.25657329034609,2.56807769591085e-06,0.00296142982550008,"DOWN"
"Tcas007649",-2.32064819778871,-2.32308218622179,4.58013781824027,2.77055196222722e-06,0.00296142982550008,"DOWN"
"Tcas011920",-1.80732754017533,-1.80750086081105,8.28523971745756,2.96380086619303e-06,0.00296142982550008,"DOWN"
"Tcas009515",-1.50196345038423,-1.50228199388038,6.61058422679267,3.29010695863711e-06,0.00298861352097291,"DOWN"
"Tcas005135",-0.994743641252357,-0.995255690183545,5.46294466346182,4.0012761841169e-06,0.00314598352000117,"NA"
"Tcas002492",-1.77207303185346,-1.7802041517608,2.93552608056753,4.09305301841626e-06,0.00314598352000117,"DOWN"
"Tcas004041",-3.36692774461868,-3.36900234207568,5.78021387673533,4.98577574449532e-06,0.00344516328512164,"DOWN"
"Tcas006834",-2.3657820597801,-2.36695738365327,5.92211799954561,5.17188243362936e-06,0.00344516328512164,"DOWN"
"Tcas012119",-1.80774005849276,-1.80867069447528,6.43018176488198,6.32848638314824e-06,0.00395213974627607,"DOWN"
"Tcas003260",-1.21692725177223,-1.21702628241708,8.54961624216358,8.8314057543272e-06,0.00467262472694297,"DOWN"
"Tcas007215",-2.48475578102666,-2.48956284399543,4.79594971459142,8.83750648104615e-06,0.00467262472694297,"DOWN"
"Tcas000613",-1.09041405177438,-1.09099135805067,5.44729681453325,8.98395233862019e-06,0.00467262472694297,"DOWN"
"Tcas004296",-3.32868345486316,-3.3326106088567,5.02601888501846,9.3527316391973e-06,0.00467262472694297,"DOWN"
"Tcas004264",-1.70816508171545,-1.70899809309673,5.67537755935843,1.15212720861797e-05,0.00520220666799865,"DOWN"
"Tcas008684",-1.55296963434841,-1.55391069317779,5.26489190609864,1.18759629157029e-05,0.00520220666799865,"DOWN"
"Tcas012414",-1.690174218635,-1.69057406960182,6.5790343115479,1.19746550604452e-05,0.00520220666799865,"DOWN"
"Tcas011980",-1.56907412805236,-1.57034039494003,5.08765782915526,1.31601622928505e-05,0.00547901423459007,"DOWN"
"Tcas009663",-1.15643529466393,-1.15711343788011,5.25596821406705,1.42848791529177e-05,0.00570938049983815,"DOWN"
"Tcas000245",-1.15710179006733,-1.15734200074285,6.66669552890835,1.77716119083357e-05,0.00667794771583276,"DOWN"
"Tcas008044",-2.73498015827676,-2.7382595934168,4.78548364352678,1.83544434138388e-05,0.00667794771583276,"DOWN"
"Tcas003464",-1.06048343838293,-1.0606528131772,7.10093957795901,1.87132241836787e-05,0.00667794771583276,"DOWN"
"Tcas011863",-1.13239539072359,-1.13246445409061,8.68769810651896,2.03214817244769e-05,0.00700180156520599,"DOWN"
"Tcas012002",-1.26372247495481,-1.26431931552535,5.40598096640837,2.1539970436676e-05,0.00706900664603624,"DOWN"
"Tcas006459",-2.60505696365388,-2.60655521290183,5.62690043679354,2.19314657753326e-05,0.00706900664603624,"DOWN"
"Tcas012168",-1.36620614204986,-1.36626750111406,8.92365896555874,2.31604140256706e-05,0.00723183927951564,"DOWN"
"Tcas003336",-2.00045909466036,-2.00164613892257,5.52599485793023,3.65223172139764e-05,0.011058514957638,"DOWN"
"Tcas005999",-0.855509449697564,-0.855745382772745,6.41030062619099,5.66404619770944e-05,0.0162317508177777,"NA"
"Tcas008231",-1.60511447255096,-1.60584461366749,5.85463113097355,5.71663120629058e-05,0.0162317508177777,"DOWN"
"Tcas007037",-1.10881006552538,-1.10903915301916,6.82747813979822,5.84810878142513e-05,0.0162317508177777,"DOWN"
"Tcas007633",-1.53655342687944,-1.53678537551688,7.12804532382917,6.42649906785416e-05,0.0173550212664861,"DOWN"
"Tcas005259",-1.91274232079056,-1.9128204051035,11.1143595907255,7.0683744581058e-05,0.0185105930946685,"DOWN"
"Tcas007432",0.789810438838905,0.79028646114218,5.3708199134417,7.22491123590946e-05,0.0185105930946685,"NA"
"Tcas004737",-0.944146162773029,-0.944273684192002,7.39915045448356,7.57844116853435e-05,0.0189309460389988,"NA"
"Tcas004278",-2.16565190064013,-2.16578195833346,10.5717022672426,9.05696506422698e-05,0.022072486566282,"DOWN"
"Tcas005749",-0.967530451908073,-0.968962654328256,4.25775808817949,0.000105640763180627,0.0251324406119244,"NA"
"Tcas011443",-0.908432973749515,-0.908931561520132,5.31305471422304,0.000112645954774719,0.0261757762816044,"NA"
"Tcas012300",-1.71773076220142,-1.7203326209756,4.73207781197414,0.000126709012996831,0.0287744649514623,"DOWN"
"Tcas012401",1.06449827971275,1.06507380106288,5.67631187583699,0.000134467442918656,0.029857748658738,"UP"
"Tcas012524",-4.17550207325906,-4.27837723768657,1.16378492728252,0.000151048860521336,0.0321752255475356,"DOWN"
"Tcas004939",-1.479645901213,-1.48016021287722,6.2471706171138,0.000151344635782043,0.0321752255475356,"DOWN"
"Tcas001613",-1.27063603606362,-1.27101787065471,6.06438856094206,0.000154591827630538,0.0321808654517569,"DOWN"
"Tcas000442",1.17113292624754,1.17189530821814,5.15798147777607,0.000158823520013201,0.0323870328973857,"UP"
"Tcas007810",-0.910213731754913,-0.910951721927565,4.72939149539769,0.000165978397613524,0.0331318435398133,"NA"
"Tcas011487",-1.2716118969116,-1.27170813100718,8.48338728240699,0.000169417652640461,0.0331318435398133,"DOWN"
"Tcas009833",-1.05346481575189,-1.05365356662712,7.42060326172592,0.000172423525227211,0.0331318435398133,"DOWN"
"Tcas000454",0.927459041038399,0.929593065652634,3.45293486476631,0.000189713384348601,0.0357663421964382,"NA"
"Tcas005680",-1.18878128954517,-1.18971480524532,5.28279847328435,0.000199106180240214,0.0368420176474115,"DOWN"
"Tcas009707",-1.20618492064319,-1.20652159216483,6.76048598422742,0.000208149817122335,0.0378151449579339,"DOWN"
"Tcas009042",-1.03492095561506,-1.03498741070541,8.33020850886735,0.000215817513495896,0.0385080106223392,"DOWN"
"Tcas009776",-1.15775762498664,-1.15780435651348,9.52752479664077,0.00023012471662403,0.0403404590966194,"DOWN"
"Tcas003545",-0.848596156491866,-0.848827210636349,6.46722838814712,0.000235390577509392,0.0405521146633422,"NA"
"Tcas001445",-1.68502338100472,-1.6859358256333,7.4420319710685,0.000240282984825792,0.0406933488877849,"DOWN"
"Tcas002505",1.42185670619184,1.42389272541628,4.20087560244271,0.000247836937640485,0.040730388029936,"UP"
"Tcas011344",-1.22007718055857,-1.22038916771825,6.23992406476304,0.000251782141000959,0.040730388029936,"DOWN"
"Tcas005588",-0.677586860461015,-0.677873857723923,5.68603304152025,0.00025273059025781,0.040730388029936,"NA"
"Tcas000357",-1.93698385524265,-1.93812863259424,5.04571895874507,0.000273004079463111,0.0432993136824667,"DOWN"
"Tcas007426",-1.26781792372172,-1.26846494993463,5.61544923595814,0.000288784776029764,0.0450476754656937,"DOWN"
"Tcas005361",0.990655486263374,0.993983107397096,2.98635335669789,0.000293044325987799,0.0450476754656937,"NA"
